EPO;blup;blue
ELAX_96;0,036655533;0,900512343
ELAX_99;0,795007908;3,077476262
GQAX_10;-0,298366054;-0,533047987
GQAX_112;0,126769787;0,872132547
GQAX_116;0,251479929;0,890359957
GQAX_119;0,069258328;0,857250498
GQAX_126;-0,33616171;-0,539627328
GQAX_138;-0,181362743;0,266364745
GQAX_139;-0,56372833;-1,002028388
GQAX_140;-0,280888074;-0,226408447
GQAX_149;-0,319480163;-0,96171374
GQAX_166;-0,014655692;0,208402912
GQAX_175;0,282513929;1,368300194
GQAX_189;0,38992099;1,426928959
GQAX_4;0,604986284;2,369356783
GQAX_5;-0,371577292;-0,769929545
GQAX_67;0,075950178;0,735103154
GQAX_75;-0,503315084;-0,718324972
GQAX_76;2,266376184;7,137688158
GQAX_82;0,091523854;0,743662562
GQAX_83;-0,175462791;-0,490155227
GQAX_91;-0,165858522;1,005802258
GQAX_95;0,168499508;1,209897485
GQAX_ixos;0,086291149;1,362442033
MariaB6R;0,367599222;2,071386469
