EPO;G_biom
ATOUDUR;0,00570188402715795
EL4X_100;0,0289839232645576
EL4X_101;-0,0407630161231592
EL4X_104;0,00266627935306449
EL4X_114;-0,061611001318654
EL4X_117;-0,00768671536380367
EL4X_118;0,0325617390802842
EL4X_120;0,0217396224821031
EL4X_122;0,0561063241107245
EL4X_124;-0,0123236581572799
EL4X_13;0,0556069536532067
EL4X_130;-0,0255477226121673
EL4X_131;0,0215342512023263
EL4X_143;-0,000530166753922857
EL4X_145;0,0205179863669283
EL4X_146;-0,0156071133188138
EL4X_148;0,0291760236634444
EL4X_153;-0,045614395984638
EL4X_16;-0,044949582657593
EL4X_165;0,0575481520502903
EL4X_176;0,00516966121606064
EL4X_179;-0,00683911524755057
EL4X_182;-0,0140368521236175
EL4X_184;0,00143062365402626
EL4X_185;0,00412389872975175
EL4X_187;0,0019652841758396
EL4X_188;-0,00928772988357029
EL4X_192;0,00523159331515089
EL4X_194;0,0382310493596785
EL4X_195;0,022282137238398
EL4X_197;-0,00187504612375627
EL4X_198;0,0286525250385747
EL4X_199;0,033477577406193
EL4X_201;0,0265274101069081
EL4X_202;-0,00073329248173426
EL4X_207;-0,0187260394325347
EL4X_212;0,035667304300946
EL4X_222;0,025927856461245
EL4X_227;-0,0070939144538443
EL4X_229;-0,020207681386929
EL4X_230;-0,0735496059352846
EL4X_233;-0,0129023701371023
EL4X_235;-0,00681685721576999
EL4X_237;0,0415894129803111
EL4X_239;-0,0275168238668552
EL4X_240;-0,0148059616491522
EL4X_241;0,0037568338615954
EL4X_243;-0,0559393482605667
EL4X_244;0,0127172738801102
EL4X_250;-0,0380867089847749
EL4X_251;-0,00806156496039525
EL4X_252;0,00205242720874153
EL4X_261;0,0401259734431299
EL4X_262;0,000166483281606762
EL4X_265;-0,0321741690345792
EL4X_268;-0,0271335607417967
EL4X_27;-0,0220898100423504
EL4X_278;0,00576967392333112
EL4X_279;0,0341653856886063
EL4X_28;0,00656644130028147
EL4X_288;-0,0123479474604837
EL4X_29;0,010374397033583
EL4X_292;0,0562040941995311
EL4X_295;0,0298065295406466
EL4X_298;-0,0194980201299219
EL4X_3;0,0205357845170416
EL4X_303;0,01713630230915
EL4X_305;0,101144404299333
EL4X_309;0,046152264715878
EL4X_31;0,0184007437911733
EL4X_311;-0,0423803517748954
EL4X_315;-0,0175025754738528
EL4X_316;0,0263488779219272
EL4X_329;0,0485728023059225
EL4X_331;-0,0639006509137215
EL4X_335;-0,0255884633037665
EL4X_336;0,0370595158436113
EL4X_341;0,0276456101310151
EL4X_344;0,0249252914338232
EL4X_345;-0,0693637016355875
EL4X_346;-0,0292600411127519
EL4X_348;0,0100516129499557
EL4X_35;-0,00651775668813391
EL4X_350;-0,0598720514183822
EL4X_352;0,0536415978590706
EL4X_353;-0,00388399657109943
EL4X_356;-0,0391742994245923
EL4X_366;0,0167353254049777
EL4X_367;0,0189841968485657
EL4X_368;0,0107523265306999
EL4X_370;-0,0220950797100773
EL4X_371;0,0213907614867837
EL4X_372;-0,0523727431570406
EL4X_373;-0,0289937314996028
EL4X_376;-0,0154086049932736
EL4X_377;-0,00423147053047885
EL4X_38;-0,0268707423006822
EL4X_383;-0,00260423946303851
