EPO;blue;blup
ELAX_96;-0,048838159;0,00971933
ELAX_99;0,385709677;0,071572618
GQAX_10;-0,558950164;-0,056104236
GQAX_112;0,471937646;0,072599778
GQAX_116;-0,608778732;-0,059899352
GQAX_119;-0,519080922;-0,045644139
GQAX_126;-0,079191423;0,006184233
GQAX_138;-0,575750319;-0,05336147
GQAX_139;0,503527026;0,071732541
GQAX_140;-0,603176187;-0,05801979
GQAX_149;-0,495334138;-0,051187015
GQAX_166;0,37310359;0,068230198
GQAX_175;-0,093216749;0,011627538
GQAX_189;0,54679945;0,079751997
GQAX_4;-0,001968497;0,010680703
GQAX_5;-0,460534934;-0,050210024
GQAX_67;-0,079670891;0,00586508
GQAX_75;-0,052857707;0,012157477
GQAX_76;0,459819297;0,076418855
GQAX_82;-0,58892324;-0,052611908
GQAX_83;-0,040856281;0,016561889
GQAX_91;-0,081960339;0,010040459
GQAX_95;-0,58295382;-0,055915297
GQAX_ixos;-0,037737402;0,009527304
MariaB6R;-0,052793882;0,011253614
